id,block,sub,sub_addr,str_off,page,speaker,japanese,korean,note
01-00-0000-00,1,0,6C8A88,0000,0,,精霊の森,정령의 숲,
01-00-000A-00,1,0,6C8A88,000A,0,クラース,"{N4}
「これがシルフの言ってた大樹ユグド
　ラシルなのか？」{W}","{N4}
「이게 실프가 말하던 대수
　유그드라실인가?」{W}",
01-00-000A-01,1,0,6C8A88,000A,1,クラース,"{N4}
「{SPD:10}・・・・・・{SPD:FF}ん？」{W}","{N4}
「{SPD:10}……{SPD:FF}음?」{W}",
01-00-000A-02,1,0,6C8A88,000A,2,クラース,"{N4}
「なっ・・・、なんだッ！？」{W}","{N4}
「뭣, 뭐지!?」{W}",
01-00-0092-00,1,0,6C8A88,0092,0,クレス,"{N1}
（この光景は・・・・・・！？）{W}","{N1}
（이 광경은……!?）{W}",
01-00-0092-01,1,0,6C8A88,0092,1,樹の精霊,"樹の精霊
「私が見えるのですね？」{W}","나무의 정령
「제가 보이시는군요?」{W}",
01-00-0092-02,1,0,6C8A88,0092,2,樹の精霊,"樹の精霊
「声が聞こえるのですね？」{W}","나무의 정령
「목소리가 들리시는군요?」{W}",
01-00-0092-03,1,0,6C8A88,0092,3,樹の精霊,"樹の精霊
「ならば聞いて下さい」{W}","나무의 정령
「그렇다면 들어주세요」{W}",
01-00-0092-04,1,0,6C8A88,0092,4,樹の精霊,"樹の精霊
「滅びの時が近いことを・・・」{W}","나무의 정령
「멸망의 때가 가까워졌음을……」{W}",
01-00-0092-05,1,0,6C8A88,0092,5,樹の精霊,"樹の精霊
「あなたたちだけにでも知ってもらい
　たいのです」{W}","나무의 정령
「당신들에게만이라도 알리고
　싶습니다」{W}",
01-00-018E-00,1,0,6C8A88,018E,0,樹の精霊,"樹の精霊
「私は、大樹ユグドラシルに宿る精霊
　マーテル」{W}","나무의 정령
「저는 대수 유그드라실에
　깃든 정령, 마텔입니다」{W}",
01-00-018E-01,1,0,6C8A88,018E,1,マーテル,"マーテル
「今、大樹の死期が近づいています」{W}","마텔
「지금 대수의 임종이 다가오고
　있습니다」{W}",
01-00-018E-02,1,0,6C8A88,018E,2,クラース,"{N4}
「それが一体、どうしたと{SPD:10}・・・{SPD:FF}？」{W}","{N4}
「그게 대체, 어떻다는{SPD:10}……{SPD:FF}?」{W}",
01-00-018E-03,1,0,6C8A88,018E,3,マーテル,"マーテル
「精霊たちと魔力の源であるマナは、
　この大樹から生まれているのです」{W}","마텔
「정령들과 마력의 근원 마나는
　이 대수에게서 태어납니다」{W}",
01-00-018E-04,1,0,6C8A88,018E,4,マーテル,"マーテル
「御存じでしたか？」{W}","마텔
「알고 계셨나요?」{W}",
01-00-029E-00,1,0,6C8A88,029E,0,クラース,"{N4}
「なんだって！」{W}","{N4}
「뭐라고!」{W}",
01-00-029E-01,1,0,6C8A88,029E,1,クラース,"{N4}
「本当なのか・・・？」{W}","{N4}
「진짜인가……?」{W}",
01-00-029E-02,1,0,6C8A88,029E,2,クラース,"{N4}
「こんな樹一本で世界中に満ち足りる
　だけの、マナが？」{W}","{N4}
「이런 나무 한 그루로
　온 세상을 채울 마나가?」{W}",
01-00-029E-03,1,0,6C8A88,029E,3,マーテル,"マーテル
「・・・そうです」{W}","마텔
「……그렇습니다」{W}",
01-00-029E-04,1,0,6C8A88,029E,4,クラース,"{N4}
「{SPD:10}・・・・・・{SPD:FF}信じられんな」{W}","{N4}
「{SPD:10}……{SPD:FF}믿기지 않는군」{W}",
01-00-029E-05,1,0,6C8A88,029E,5,クラース,"{N4}
「証拠も根拠もない」{W}","{N4}
「증거도 근거도 없지 않나」{W}",
01-00-029E-06,1,0,6C8A88,029E,6,マーテル,"マーテル
「樹が枯れた後でなければ、信じては
　もらえませんか？」{W}","마텔
「나무가 시든 뒤가 아니면
　믿어 주실 수 없나요?」{W}",
01-00-029E-07,1,0,6C8A88,029E,7,マーテル,"マーテル
「精霊も魔術も、すべてが失われてか
　らでなければ{SPD:10}・・・{SPD:FF}」{W}","마텔
「정령도 마술도 모두 사라지고
　나서야만{SPD:10}……{SPD:FF}」{W}",
01-00-029E-08,1,0,6C8A88,029E,8,クラース,"{N4}
「{SPD:10}・・・・・・・・・{SPD:FF}」{W}","{N4}
「{SPD:10}………{SPD:FF}」{W}",
01-00-0434-00,1,0,6C8A88,0434,0,クレス,"{N1}
「この精霊が言ってることは、たぶん
　本当ですよ！」{W}","{N1}
「이 정령이 하는 말은, 아마
　진짜일 거예요!」{W}",
01-00-0434-01,1,0,6C8A88,0434,1,クレス,"{N1}
「ぼくらが住む１００年後の未来には　魔術なんてなかったし・・・」{W}","{N1}
「우리가 사는 백 년 후의 미래엔
　마술 같은 건 없었고……」{W}",
01-00-0434-02,1,0,6C8A88,0434,2,クレス,"{N1}
「それにぼくは見たんだ！」{W}","{N1}
「게다가 난 봤어!」{W}",
01-00-04DC-00,1,0,6C8A88,04DC,0,クレス,"{N1}
「この樹が、枯れ果てた姿を{SPD:10}・・・{SPD:FF}」{W}","{N1}
「이 나무가, 앙상하게
　시든 모습을{SPD:10}……{SPD:FF}」{W}",
01-00-04DC-01,1,0,6C8A88,04DC,1,クラース,"{N4}
「本当、・・・なのか？」{W}","{N4}
「진짜, ……인가?」{W}",
01-00-04DC-02,1,0,6C8A88,04DC,2,クラース,"{N4}
「だとしたら{SPD:10}・・・・・・{SPD:FF}」{W}","{N4}
「그렇다면{SPD:10}……{SPD:FF}」{W}",
01-00-055A-00,1,0,6C8A88,055A,0,マーテル,"マーテル
「・・・マナは・・・」{W}","마텔
「……마나는……」{W}",
01-00-055A-01,1,0,6C8A88,055A,1,マーテル,"マーテル
「大樹ユグドラシルが永遠に生き続け
　るために必要なもの・・・」{W}","마텔
「대수 유그드라실이 영원히
　살아가는 데 필요한 것……」{W}",
01-00-055A-02,1,0,6C8A88,055A,2,マーテル,"マーテル
「魔術で消費されたくらいでは{SPD:10}・・・{SPD:FF}
　本来、失われるはずはないのです」{W}","마텔
「마술로 소비되는 정도로는{SPD:10}……{SPD:FF}
　원래, 사라질 리가 없습니다」{W}",
01-00-055A-03,1,0,6C8A88,055A,3,クラース,"{N4}
「では、なぜ？」{W}","{N4}
「그럼, 왜지?」{W}",
01-00-055A-04,1,0,6C8A88,055A,4,マーテル,"マーテル
「・・・わかりません」{W}","마텔
「……모르겠습니다」{W}",
01-00-055A-05,1,0,6C8A88,055A,5,マーテル,"マーテル
「何らかの強い力がマナを大量に消費
　しているとしか・・・」{W}","마텔
「무언가 강한 힘이 마나를
　대량으로 소비하는 듯……」{W}",
01-00-055A-06,1,0,6C8A88,055A,6,クレス,"{N1}
「なんとか樹を助ける方法は？」{W}","{N1}
「어떻게든 나무를 구할
　방법은?」{W}",
01-00-055A-07,1,0,6C8A88,055A,7,クレス,"{N1}
「魔法がなければダオスを倒すことも
　できなくなってしまう」{W}","{N1}
「마법이 없으면 다오스를
　쓰러뜨리지도 못하게 돼」{W}",
01-00-055A-08,1,0,6C8A88,055A,8,クラース,"{N4}
「・・・それに私の研究も無駄になっ
　てしまう」{W}","{N4}
「……게다가 내 연구도 헛수고가
　되어 버려」{W}",
01-00-0748-00,1,0,6C8A88,0748,0,クラース,"{N4}
「待ってくれ！」{W}","{N4}
「기다려 줘!」{W}",
01-00-0748-01,1,0,6C8A88,0748,1,クラース,"{N4}
「まだ聞きたいことがッ！！」{W}","{N4}
「아직 물어볼 게 있다!!」{W}",
01-00-0786-00,1,0,6C8A88,0786,0,ミント,"{N2}
「私がやってみます」{W}","{N2}
「제가 해 보겠습니다」{W}",
01-00-07A4-00,1,0,6C8A88,07A4,0,クラース,"{N4}
「えッ？」{W}","{N4}
「엇?」{W}",
01-00-07B8-00,1,0,6C8A88,07B8,0,ミント,"{N2}
「ダメみたい{SPD:10}・・・{SPD:FF}」{W}","{N2}
「안 되는 것 같아요{SPD:10}……{SPD:FF}」{W}",
01-00-07DE-00,1,0,6C8A88,07DE,0,ミント,"{N2}
「私にお母さんくらいの強い法術の力
　があれば{SPD:10}・・・{SPD:FF}」{W}","{N2}
「제게 어머니만큼 강한
　법술의 힘이 있다면{SPD:10}……{SPD:FF}」{W}",
01-00-0826-00,1,0,6C8A88,0826,0,クラース,"{N4}
「そんなに、都合良くはいかないか
　{SPD:10}・・・{SPD:FF}」{W}","{N4}
「그렇게, 편하게 되진 않는가
　{SPD:10}……{SPD:FF}」{W}",
01-00-0826-01,1,0,6C8A88,0826,1,ミント,"{N2}
「でも歴史は変えられますよね」{W}","{N2}
「하지만 역사는 바꿀 수 있죠」{W}",
01-00-0826-02,1,0,6C8A88,0826,2,ミント,"{N2}
「ダオスが未来に時間転移する前に倒
　すことだって・・・」{W}","{N2}
「다오스가 미래로 시간이동하기
　전에 쓰러뜨리는 것도……」{W}",
01-00-0826-03,1,0,6C8A88,0826,3,ミント,"{N2}
「きっと可能ですよッ！！」{W}","{N2}
「분명 가능할 거예요!!」{W}",
01-00-0826-04,1,0,6C8A88,0826,4,クラース,"{N4}
「確かにそうだ」{W}","{N4}
「확실히 그렇군」{W}",
01-00-0826-05,1,0,6C8A88,0826,5,クラース,"{N4}
「マナを、大量に消費する原因を取り
　除く方法だってあるしな」{W}","{N4}
「마나를 대량 소비하는 원인을
　없앨 방법도 있으니까」{W}",
01-00-0826-06,1,0,6C8A88,0826,6,クレス,"{N1}
「取り除くって言っても・・・」{W}","{N1}
「없앤다고 해도……」{W}",
01-00-0826-07,1,0,6C8A88,0826,7,クレス,"{N1}
「これからぼくたちは何をしたらいい
　んでしょう？」{W}","{N1}
「이제부터 우리는 무엇을 하면
　좋을까요?」{W}",
01-00-09AE-00,1,0,6C8A88,09AE,0,クラース,"{N4}
「現在、確認されている精霊の中で、
　最も強い力を持つもの・・・」{W}","{N4}
「현재, 확인된 정령들 중에서
　가장 강한 힘을 가진 것……」{W}",
01-00-09AE-01,1,0,6C8A88,09AE,1,クラース,"{N4}
「それは『ルナ』という、月の精霊な
　んだ」{W}","{N4}
「그건 『루나』라는 달의 정령
　이다」{W}",
01-00-09AE-02,1,0,6C8A88,09AE,2,クラース,"{N4}
「そして、そのルナと契約するために
　必要な指輪は・・・」{W}","{N4}
「그리고 그 루나와 계약에
　필요한 반지는……」{W}",
01-00-09AE-03,1,0,6C8A88,09AE,3,クラース,"{N4}
「モーリア坑道にある」{W}","{N4}
「모리아 갱도에 있다」{W}",
01-00-09AE-04,1,0,6C8A88,09AE,4,クラース,"{N4}
「・・・そう言われている」{W}","{N4}
「……그렇게 전해지고 있지」{W}",
01-00-09AE-05,1,0,6C8A88,09AE,5,クレス,"{N1}
「モーリア坑道？」{W}","{N1}
「모리아 갱도?」{W}",
01-00-09AE-06,1,0,6C8A88,09AE,6,クラース,"{N4}
「魔法王国アルヴァニスタにある、ド
　ワーフの鉱山跡だが・・・」{W}","{N4}
「마법왕국 알바니스타에 있는
　드워프 폐광이다만…」{W}",
01-00-09AE-07,1,0,6C8A88,09AE,7,クラース,"{N4}
「残念ながら詳しい話は知らん」{W}","{N4}
「안타깝게도 자세히는 모른다」{W}",
01-00-09AE-08,1,0,6C8A88,09AE,8,ミント,"{N2}
「アルヴァニスタ？」{W}","{N2}
「알바니스타?」{W}",
01-00-09AE-09,1,0,6C8A88,09AE,9,クラース,"{N4}
「ああ」{W}","{N4}
「그래」{W}",
01-00-09AE-10,1,0,6C8A88,09AE,10,クラース,"{N4}
「アルヴァニスタ王国は、世界で最も
　魔法文化が発達した国でね」{W}","{N4}
「알바니스타 왕국은 세계에서
　마법 문화가 가장 발달했지」{W}",
01-00-09AE-11,1,0,6C8A88,09AE,11,クラース,"{N4}
「そこに行けば必ず重要な情報が得ら
　れるはずだ」{W}","{N4}
「그곳에 가면 중요한 정보를
　얻을 수 있을 거다」{W}",
01-00-09AE-12,1,0,6C8A88,09AE,12,クラース,"{N4}
「ルートは確か・・・」{W}","{N4}
「경로는 분명……」{W}",
01-00-09AE-13,1,0,6C8A88,09AE,13,クラース,"{N4}
「北にあるベネツィアという港町から
　定期船が出ているはずだ」{W}","{N4}
「북쪽에 있는 베네치아라는
　항구에서 정기선이 뜬다」{W}",
01-00-0C4A-00,1,0,6C8A88,0C4A,0,クレス,"{N1}
「一体どうしたら・・・」{W}","{N1}
「대체 어떻게 하면……」{W}",
01-00-0C4A-01,1,0,6C8A88,0C4A,1,クレス,"{N1}
「ユグドラシルを復活させることがで
　きるんだろう？」{W}","{N1}
「유그드라실을 되살릴 수
　있을까?」{W}",
01-00-0CAA-00,1,0,6C8A88,0CAA,0,クレス,"{N1}
「樹が、枯れかけてる・・・」{W}","{N1}
「나무가 시들어 가고 있어……」{W}",
01-00-0CD0-00,1,0,6C8A88,0CD0,0,ミント,"{N2}
「ダメだわ・・・」{W}","{N2}
「안 되겠어……」{W}",
01-00-0CD0-01,1,0,6C8A88,0CD0,1,ミント,"{N2}
「私じゃ無理なのかしら・・・」{W}","{N2}
「나로선 무리인 걸까……」{W}",
01-00-0D12-00,1,0,6C8A88,0D12,0,アーチェ,"{N3}
「あきらめちゃダメだよ」{W}","{N3}
「포기하면 안 돼」{W}",
01-00-0D12-01,1,0,6C8A88,0D12,1,アーチェ,"{N3}
「今、少しだけ樹が元気になったよ」{W}","{N3}
「지금, 나무가 조금은 기운을
　차렸어」{W}",
01-00-0D12-02,1,0,6C8A88,0D12,2,アーチェ,"{N3}
「がんばればきっと・・・ねっ」{W}","{N3}
「힘내면 분명……응!」{W}",
01-00-0D12-03,1,0,6C8A88,0D12,3,ミント,"{N2}
「ええ・・・」{W}","{N2}
「그래……」{W}",
01-00-0D12-04,1,0,6C8A88,0D12,4,ミント,"{N2}
「でもこのままじゃ・・・」{W}","{N2}
「하지만 이대로는……」{W}",
01-00-0DBC-00,1,0,6C8A88,0DBC,0,クレス,"{N1}
「この森、いつも狩りをしていたあの
　森だったんだな」{W}","{N1}
「이 숲, 늘 사냥을 하던 그
　숲이었구나」{W}",
01-00-0DFC-00,1,0,6C8A88,0DFC,0,クレス,"{N1}
「なんかこの森、どこかで見たような
　{SPD:10}・・・{SPD:FF}」{W}","{N1}
「왠지 이 숲, 어디선가 본 것
　같은{SPD:10}……{SPD:FF}」{W}",
01-00-0E3C-00,1,0,6C8A88,0E3C,0,ミント,"{N2}
「みんなさがって下さい」{W}","{N2}
「모두 물러서 주세요」{W}",
01-00-0E3C-01,1,0,6C8A88,0E3C,1,ミント,"{N2}
「私が今使える最高の法術をかけてみ
　ます」{W}","{N2}
「제가 지금 쓸 수 있는 최고의
　법술을 걸어 보겠습니다」{W}",
01-00-0E92-00,1,0,6C8A88,0E92,0,クラース,"{N4}
「どうやら、未来でもユグドラシルは
　枯れていないようだな」{W}","{N4}
「아무래도 미래에도 유그드라실
　은 시들지 않은 모양이군」{W}",
01-00-0E92-01,1,0,6C8A88,0E92,1,ミント,"{N2}
「よかった{SPD:10}・・・{SPD:FF}」{W}","{N2}
「다행이에요{SPD:10}……{SPD:FF}」{W}",
01-00-0EFA-00,1,0,6C8A88,0EFA,0,クレス,"{N1}
「でも、またいつ枯れて魔術が使えな
　くなってしまうかわからないんだ」{W}","{N1}
「하지만 언제 다시 시들어서
　못 쓰게 될지 모르는 거야」{W}",
01-00-0EFA-01,1,0,6C8A88,0EFA,1,クレス,"{N1}
「一刻も早くダオスを倒しにいこう」{W}","{N1}
「한시라도 빨리
　다오스를 쓰러뜨리자」{W}",
01-00-0F74-00,1,0,6C8A88,0F74,0,アーチェ,"{N3}
「あっ、樹のおねーちゃんが出てくる
　よ！」{W}","{N3}
「앗, 나무의 누나가 나온다
　구!」{W}",
01-00-0FAA-00,1,0,6C8A88,0FAA,0,マーテル,"マーテル
『長い時を越えて・・・』{W}","마텔
『긴 시간을 넘어……』{W}",
01-00-0FAA-01,1,0,6C8A88,0FAA,1,マーテル,"マーテル
『再びあなたたちと会う事になるとは
　思ってもみませんでした』{W}","마텔
『다시 당신들과 만나게 될 줄은
　생각도 못했습니다』{W}",
01-00-0FAA-02,1,0,6C8A88,0FAA,2,クラース,"{N4}
「マナはまだ大丈夫なのか？」{W}","{N4}
「마나는 아직 괜찮은 건가?」{W}",
01-00-0FAA-03,1,0,6C8A88,0FAA,3,マーテル,"マーテル
『・・・はい』{W}","마텔
『……네』{W}",
01-00-0FAA-04,1,0,6C8A88,0FAA,4,マーテル,"マーテル
『もう、精霊も魔術も失われることは
　ないでしょう』{W}","마텔
『이제 정령도 마술도 사라질
　일은 없을 겁니다』{W}",
01-00-0FAA-05,1,0,6C8A88,0FAA,5,マーテル,"マーテル
『ある時を境に、マナの消費は正常に
　なりましたので{SPD:10}・・・{SPD:FF}』{W}","마텔
『어느 순간부터 마나의
　소비가 정상이 됐으니까요{SPD:10}……{SPD:FF}』{W}",
01-00-0FAA-06,1,0,6C8A88,0FAA,6,クラース,"{N4}
「そうか」{W}","{N4}
「그런가」{W}",
01-00-0FAA-07,1,0,6C8A88,0FAA,7,マーテル,"マーテル
『マナが・・・、奪い取られるように
　失われ・・・』{W}","마텔
『마나가……, 빼앗기듯이
　사라지던……』{W}",
01-00-0FAA-08,1,0,6C8A88,0FAA,8,マーテル,"マーテル
『この身が、引き裂かれるような思い
　をしなくなってから・・・』{W}","마텔
『이 몸이 찢겨나가는 듯한
　느낌이 없어지고서야……』{W}",
01-00-0FAA-09,1,0,6C8A88,0FAA,9,マーテル,"マーテル
『私は、眠りにつく時間が長くなりま
　した』{W}","마텔
『저는, 잠드는 시간이 길어졌
　습니다』{W}",
01-00-11BE-00,1,0,6C8A88,11BE,0,アーチェ,"{N3}
「精霊も眠るんだ？」{W}","{N3}
「정령도 잠을 자는구나?」{W}",
01-00-11DC-00,1,0,6C8A88,11DC,0,マーテル,"マーテル
『マナが世界に蓄えられていくに従っ
　て・・・』{W}","마텔
『마나가 세상에 쌓여감에
　따라서……』{W}",
01-00-11DC-01,1,0,6C8A88,11DC,1,マーテル,"マーテル
『私の中で何かが生まれるような、そ
　んな感じがするのです』{W}","마텔
『제 안에서 무언가 생기는
　그런 느낌이 듭니다』{W}",
01-00-1262-00,1,0,6C8A88,1262,0,マーテル,"マーテル
『そして・・・』{W}","마텔
『그리고……』{W}",
01-00-1262-01,1,0,6C8A88,1262,1,マーテル,"マーテル
『私が眠っている間、美しい男性がこ
　こに訪れているようなのです』{W}","마텔
『제가 잠든 사이, 고운 남자가
　이곳에 다녀가는 듯해요』{W}",
01-00-1262-02,1,0,6C8A88,1262,2,マーテル,"マーテル
『私を見守るようにして去っていく、
　長い金髪{SPD:10}・・・{SPD:FF}』{W}","마텔
『저를 지켜보듯 하고 떠나가는,
　긴 금발{SPD:10}……{SPD:FF}』{W}",
01-00-1318-00,1,0,6C8A88,1318,0,チェスター,"{N5}
「どうしたんだ？」{W}","{N5}
「왜 그래?」{W}",
01-00-1318-01,1,0,6C8A88,1318,1,チェスター,"{N5}
「話の途中で」{W}","{N5}
「얘기하다 말고」{W}",
01-00-134A-00,1,0,6C8A88,134A,0,クレス,"{N1}
「だっ、誰だ！？」{W}","{N1}
「누, 누구냐!?」{W}",
01-00-1366-00,1,0,6C8A88,1366,0,クレス,"{N1}
「だっ、ダッ{SPD:10}・・・・・・{SPD:FF}ダオス！」{W}","{N1}
「다, 다{SPD:10}……{SPD:FF}다오스!」{W}",
01-00-139A-00,1,0,6C8A88,139A,0,ダオス,"ダオス
「見覚えがあると思えば・・・」{W}","다오스
「낯이 익다 싶더니……」{W}",
01-00-139A-01,1,0,6C8A88,139A,1,ダオス,"ダオス
「ちっ、忌々しい奴らよ」{W}","다오스
「쳇, 지긋지긋한 놈들이로다」{W}",
01-00-139A-02,1,0,6C8A88,139A,2,ダオス,"ダオス
「この未来まで、私を追いかけてきた
　のか」{W}","다오스
「이 미래까지, 나를 쫓아왔단
　말이냐」{W}",
01-00-139A-03,1,0,6C8A88,139A,3,ダオス,"ダオス
「お前たちもミッドガルズと同じ運命
　をたどるがいい！！」{W}","다오스
「너희도 미드가르즈와 같은
　운명을 걷게 해 주마!!」{W}",
01-00-1460-00,1,0,6C8A88,1460,0,クラース,"{N4}
「まずいッ！」{W}","{N4}
「위험해!」{W}",
01-00-1478-00,1,0,6C8A88,1478,0,ダオス,"ダオス
「ここで戦えば大樹カーラーンに被害
　が及ぶか・・・」{W}","다오스
「여기서 싸우면 대수 카란에
　피해가 미치려나……」{W}",
01-00-1478-01,1,0,6C8A88,1478,1,ダオス,"ダオス
「ふっ・・・、命拾いしたな」{W}","다오스
「흠……, 목숨을 건졌구나」{W}",
01-00-14E0-00,1,0,6C8A88,14E0,0,クレス,"{N1}
「たっ、助かった・・・」{W}","{N1}
「사, 살았다……」{W}",
01-00-14E0-01,1,0,6C8A88,14E0,1,アーチェ,"{N3}
「死ぬかと思った・・・」{W}","{N3}
「죽는 줄 알았어……」{W}",
01-00-14E0-02,1,0,6C8A88,14E0,2,クラース,"{N4}
「何だあれは？」{W}","{N4}
「저건 뭐지?」{W}",
01-00-14E0-03,1,0,6C8A88,14E0,3,クラース,"{N4}
「以前とは比べ物にならない力を感じ
　たぞ・・・」{W}","{N4}
「이전과는 비교할 수 없는 힘을
　느꼈다……」{W}",
01-00-14E0-04,1,0,6C8A88,14E0,4,クレス,"{N1}
「今のぼくたちでは・・・」{W}","{N1}
「지금의 우리로서는……」{W}",
01-00-14E0-05,1,0,6C8A88,14E0,5,アーチェ,"{N3}
「勝てない？」{W}","{N3}
「못 이겨?」{W}",
01-00-15AC-00,1,0,6C8A88,15AC,0,クレス,"{N1}
「・・・悔しいけど・・・」{W}","{N1}
「……속상하지만……」{W}",
01-00-15D0-00,1,0,6C8A88,15D0,0,クラース,"{N4}
「ダオスはなぜここに現れたんだ？」{W}","{N4}
「다오스는 왜
　여기 나타난 거지?」{W}",
01-00-15D0-01,1,0,6C8A88,15D0,1,クラース,"{N4}
「私たちを・・・、殺しに来たんじゃ
　ないのか？」{W}","{N4}
「우리를……, 죽이러 온 게
　아닌가?」{W}",
01-00-1636-00,1,0,6C8A88,1636,0,ミント,"{N2}
「私たちが時間転移してきたのを初め
　て知ったような口ぶりでしたよ？」{W}","{N2}
「우리가 시간이동해 온 걸
　처음 알았다는 말투였어요?」{W}",
01-00-1686-00,1,0,6C8A88,1686,0,クラース,"{N4}
「さあ・・・」{W}","{N4}
「자……」{W}",
01-00-1686-01,1,0,6C8A88,1686,1,クラース,"{N4}
「早く時を操る剣を探そう」{W}","{N4}
「빨리 시간을 다루는
　검을 찾자」{W}",
01-00-16C0-00,1,0,6C8A88,16C0,0,クラース,"{N4}
「さあ・・・」{W}","{N4}
「자……」{W}",
01-00-16C0-01,1,0,6C8A88,16C0,1,クラース,"{N4}
「早く三種の武具を探しだそう」{W}","{N4}
「빨리 세 가지 무구를
　찾아내자」{W}",
01-00-16FE-00,1,0,6C8A88,16FE,0,クラース,"{N4}
「さあ・・・」{W}","{N4}
「자……」{W}",
01-00-16FE-01,1,0,6C8A88,16FE,1,クラース,"{N4}
「早くアルヴァニスタ王に会いに行こ
　う」{W}","{N4}
「빨리 알바니스타 왕을 만나러
　가자」{W}",
01-00-1748-00,1,0,6C8A88,1748,0,ミント,"{N2}
「そうですね」{W}","{N2}
「그렇군요」{W}",
01-00-1760-00,1,0,6C8A88,1760,0,,"「マナが{SPD:10}・・・・・・{SPD:FF}、
　消えてゆく{SPD:10}・・・・・・{SPD:FF}」{W}","「마나가{SPD:10}……{SPD:FF},
　사라져 간다{SPD:10}……{SPD:FF}」{W}",
01-00-17A6-00,1,0,6C8A88,17A6,0,,"　　彼は自分の母星を救うために
　　　　「大いなる実り」を
　　　必要としていた・・・。{W}","　　그는 제 모성을 구하려고
　　　　「큰 결실」을
　　　필요로 했다……{W}",
01-00-17A6-01,1,0,6C8A88,17A6,1,,"　　　　それはマナを集めて
　ユグドラシルより生まれるという{W}","　　　　그것은 마나를 모아
　유그드라실에서 태어난다는{W}",
01-00-17A6-02,1,0,6C8A88,17A6,2,,だが・・・、{W},"하지만……,{W}",
01-00-184E-00,1,0,6C8A88,184E,0,マーテル,"マーテル
『聖なる大地、聖なる宇宙、聖なる神
　よ！』{W}","마텔
『성스러운 대지여, 우주여,
　성스러운 신이시여!』{W}",
